,content,sentiment
0,holy crap need bad wait tomorrow,0
1,happy mother day wonderful woman great day,0
2,wishing weekend oh ill,0
3,day aching clearing tree beautiful lake splitting headache tho,0
4,sell album poor thing,1
5,yellow light great sorry,1
6,yep tail leg,0
7,thank,0
8,talking shah rukh khan imposter follow,0
9,sorry saw core,0
10,thanks deserve,0
11,oh god oh god oh god new supernatural start tonight new sam dean oh god cant breathe,0
12,hope better weekend,0
13,broken,1
14,,2
15,cool friend job different position let know town miss u,1
16,sorted gather cheer wish,0
17,bed sad day better,0
18,craving king sized snicker,0
19,going sleep falling asleep keyboard talk care hug,2
20,,2
21,got home boring year hung great author,2
22,home,2
23,,2
24,way time,0
25,need apologize respect,2
26,true wonder come,0
27,work leave berlin car late arrival,0
28,nope hearing bad thing,1
29,tea break cant wait drive home tonite,2
30,feel think suspicious bed straight anyways,1
31,hubby dragged buy car tired n cranky,2
32,ill sound great,0
33,live f pace,1
34,alright babe boo leave,0
35,bone outside ur foot caterpillar crawl spine relief reflexology work,2
36,want honorary ill follow thanks,0
37,word,1
38,hockey good hole,3
39,oh man suck good luck finishing recording,0
40,finished bowling family friend,1
41,hear ya dude cant,1
42,didnt realize meeting,0
43,work early work work time design today,1
44,legend,2
45,happy week ya yeah,0
46,thats need thereto represent blackberry,0
47,oh totally work,2
48,happy star war day movie,0
49,video private cant,2
50,fine,0
51,mental health wouldnt center city gave june th day worth pill left,1
52,wish area food delivery,2
53,break grub pretty burnt eventful day wanting movie happening,1
54,hour waiting losing patience,2
55,know wont,1
56,trying blend know suck harm trying,1
57,know work boring prefer life,2
58,got home hospital far,2
59,wicked tuner card sure ill able set ready fa cup final tomorrow,0
60,sitting tax collector office getting ready write check,2
61,hope wrong need,1
62,cant work pain,3
63,yea great hear,0
64,ended face face bear driving home evening sadly took wood,1
65,miss hope cramp better know painful,0
66,today working cue maybe concerto,0
67,exam week dead love,0
68,gear got,2
69,checked didnt win,1
70,tell fashion tip need woman,0
71,sound like good time nice rio seen live time,0
72,slaving away work,1
73,spend lunch hit,1
74,people making animal great time amazing place,0
75,think play,2
76,way work,2
77,beautiful time hopefully link enjoy evening,0
78,booked ticket,2
79,spending night crib,2
80,work apple little difference,2
81,amazing thank face character,0
82,bet today bet buck,1
83,end work thank god accomplished number thing,0
84,st cup coffee looking better,1
85,pansy,0
86,right ear blocked annoying wake deaf lie,1
87,,2
88,happy mother day,0
89,sure luck,1
90,think stupid,3
91,daily happening watching er instead end era sun,2
92,like library equivalent oclock ref desk,2
93,new lite love,0
94,ha found new cocktail dance wench cranberry juice spiced rum sound nice dont cranberry juice,0
95,u pray lord know need,2
96,borrowing dog want care,0
97,taking ryder morning,2
98,hair fire right smell,2
99,cable signal missing news hurt toe cold like hot weather,1
100,work evil whore doesnt let check text message,1
101,come conclusion chicken taste like lunch,3
102,friend went read,2
103,know stupid job suck dont like feeling like feel bitter angry,1
104,thats,0
105,hotel shame,2
106,getting sick exam thing thats life,2
107,revise gardening guess warcraft week,0
108,pizzeria believe area sorry answer like year later,2
109,come save,0
110,like tweet deck ill try u thanks,1
111,latest season doesnt air channel episode view,2
112,good luck breakfast search bed,2
113,yeah late,1
114,vote cyrus movie dont know somebody send link,0
115,wish come price got great deal mac took week research,2
116,happy star war day,0
117,sleeping lost voice couple day ago,1
118,finally plugged listen segment chevron,0
119,today awake min,1
120,problem,0
121,going ask hope new,3
122,pretty black flower pink hue,0
123,got rock found car got evening,1
124,kind figured probably unable reason lot thing manga happen way happen,1
125,,0
126,dont want yat happy birthday,0
127,bloody fed lost statement r hounding week,1
128,offense thought career change,2
129,werent precise find interesting talk,0
130,play,1
131,,1
132,hotter,0
133,phone,2
134,couple guy similar saw think best,0
135,logging doubt check reply twitter trying,1
136,got work,0
137,thats use touch,0
138,homework kind finished tired morning thought id,0
139,yeah store luck,1
140,baked nonstop sound like yummy fun,0
141,cheese chip,2
142,hey marco nice talk fellow,0
143,thing morning feeling arise revise tomorrow,1
144,work tired want bed,1
145,dog poppy poorly hate seeing pet ill sad,1
146,try dont care mum,2
147,miss walk home,2
148,happy finally indy horror remain captive spirit,0
149,new music wont sleep chapter die hurry,0
150,warm arm sore bad time face little red,1
151,remember day wasnt big fan felt youngster dealing,2
152,cant sleep suck day sleep shopping ugh,1
153,like stop ill want,1
154,waiting sleeping pill kick tired work tomorrow,1
155,need dread fact retail summer,1
156,rowing machine week lost week,0
157,like new profile pic cute,2
158,living sure far pollution lived,1
159,going twitter foreign follower,2
160,sleep making breakfast mommy,2
