id,content,sentiment
1960353321,"@bex_1210 holy crap, I need to see that! Too bad I gotta wait until tomorrow",happy
1753218598,HAPPY MOTHER'S DAY to all of the wonderful women out there.  Have a great and relaxful day.,happy
1961368089,"Wishing I could be in NOLA this weekend  oh well, I'll be there Tuesday!",happy
1961456147,"What a day! #dayofservice completed, and now aching all over! Clearing trees around a beautiful lake. Splitting headache now tho",happy
1962477969,@JamesMurphy anything to sell an album. poor thing.,sad
1695923630,"@PRChels_BE I heard the Yellow Light Maybes put on a great show Saturday! Sorry I missed it, Chelk.",sad
1963133317,@SQLChicken Yep! Tail between legs!,happy
1751609525,@dpbkmb Thank you for FF,happy
1753052257,@prateek_agwl Talking to whom? This 'Shah Rukh Khan' is an imposter here... LOL! BTW thanx for the follow...,happy
1963416224,@laurarenee411 I'm so sorry!  I saw it too and it shocked me to the core.,happy
1753435272,"@Tyrese4ReaL thanks, I deserve it.",happy
1694628255,OH MY GOD! OH MY GOD! OH MY GOD! New SUPERNATURAL starts tonight!  New Sam and Dean! Oh My god! can't breathe!  &lt;3 &lt;3,happy
1961218285,@dever  Hope you have a better weekend then..,happy
1966205498,has a broken iphone,sad
1752054962,orbits-gravity-moon-space exploration-galaxy-exoplanets-universe-life beyond earth-idea of Gods-religions-philosophy-morality,neutral
1751034436,@miss_k_renee On a Saturday? Not so cool friend. Same job  Different position! Let me know when your in town again!!! Miss U,sad
1751289131,@AdamTheStudent ISP all sorted i gather?! cheers for the bday wish too,happy
1957429148,im gonna go to bed alone again.  Sad day for me. but itll get better.,happy
1752227647,craving a king sized snickers,happy
1752089093,"@joyntheir going to sleep, falling asleep at keyboard. Talk to Monday  take care! Hugs!",neutral
1694236912,hee hallo @questredactie,neutral
1965541573,Just got home from the BEA &amp; it was kinda boring (2 me) this year  but hung out with some GREAT authors &amp; co-workers!,neutral
1956983467,At home alone with not much to do,neutral
1694904605,@mohandoss ????? ?????? ??? ?????? ?????? ???????? - ????????????? ??????? ?????? ???? ?????? ???????? ????,neutral
1751988180,I'm on my way to see '17 Again'.  I've wanted to see it for a looong time,happy
